"Title","Description","Price","Condition","Ad Posted Date","Username of Seller"
"Dell Monitor 24inch/ Dell Monitor /Monitor/24 Inch","Dell Monitor 24inch/ Dell monitor /monitor /24 inch Ports & Slots: 1. Power Port | 2. DP Port 1.2 | 3. VGA Port Cables Included 1 x Power cable 1 x Dis Price - Rs 20999/- Thank You 99 Nepal Newroad, Kathmandu Mobile :9801800071/9801851999 whatsapp :9801800071 Viber :9828711007 Email: 99nepalmart8848@gmail.com न्युरोड,सिभिल बैंक अगाडी (न्युरोड गेट बाट १०० मिटर अगाडी )","रू. 20,500","| Brand New","3 years ago","99Nepal"
"Dell 24inch Monitor Dell Monitor 1080p Ips 75hz","Dell 24inch ips monitor Resolution 1080p Refresh rate 75hz Colour 100%srgb Contact us for more details https://youtube.com/shorts/y8fXCFDY4jgsi=BCZBiqqjzMgVhch2 Contact us 9861211217","रू. 12,500","| Brand New","5 months ago","Lecoo Nepal"
"24inch Monitor Dell 1080p Ips Monitor","dell brand new 1080p true ips IPS Black Adjustability tilt Color Gamut 100% Rec 709, 100% sRGB, 91% DCI-P3","रू. 12,500","| Brand New","5 months ago","Lecoo Nepal"
"Dual Monitor Desk Mount Stand For Doul Monitor","Mounting Type desk mount Movement Type Articulating Brand Ant TV Size 27 Inches Minimum Compatible Size 17 Inches Compatible Devices Monitors Maximum Tilt Angle 85 Degrees About this item TWO MONITORS AT ONCE: Fits most 17''- 27'' Monitors with the load from 4.4 -19.8 lbs (2-9KG) for each monitor, VESA compliant patterns 75x75mm or 100x100mm; While the whole VESA Plate of this product is 118*118mm,Pls pay special attention to the size of VESA Plate if your monitor are curved monitor,","रू. 6,500","| Brand New","1 years ago","ANT COMPUTER (9851344192)"
"Dell 24inch Monitor Dell Monitor Ips","24'' Full HD 1080p 60hz Monitor Borderless ips display white colour HDMI VGA Port Ultra Slim Display Display Type LED-backlit LCD monitor / TFT active matrix Diagonal Size 23.8"" Adaptive-Sync Technology AMD FreeSync Panel Type IPS Aspect Ratio 16:9 Native Resolution Full HD (1080p) 1920 x 1080 at 75 Hz Pixel Pitch 0.2745 mm Pixel Per Inch 92.56 Brightness 250 cd/m² Contrast Ratio 1000:1 Color Support contact us 9861211217 whatsapp viber available","रू. 12,500","| Brand New","6 months ago","Lecoo Nepal"
"Dell Monitor 19inch Monitor","Diagonal Size: 19 Resolution/Refresh Rate: 1366 x 768 Panel Technology: ips Adjustability: Tilt Ports: VGA (HD-15) HDMI Cables: 1 x Power cable 1 x HDMI 1 x VGA contact us 9861211217","रू. 4,999","| Brand New","4 months ago","Lecoo Nepal"
"19 Inch Monitor Jdkee 19 Inch Monitor With LED","Display: 19.0 Inch display with 1400x 900 ideal Resolution Connectivity: VGA/HDMI Response Time: 5 milliseconds Power Consumption: 10 Watts Viewing Angle : H 170/ V160 (CR Grater then 10) Number of colora : 16.7 M Panal Size : 47 CM ( 19 Inch ) M0tionflow 100HZ","रू. 5,500","| Brand New","1 years ago","New One IT Store"
"BenQ EW2480 Gaming Monitor 24"" FHD Ips Monitor","EW2480: HDRi+, Sound by Trevolo, Borderless, 23.8"" IPS Panel, Full HD (1920*1080), 75Hz, with VGA, HDMI & DP, Head phone Jack, Speaker 2.5W X 2, Contrast Ratio 1k:1, 20M:1, Metallic Grey body","रू. 23,700","| Brand New","2 months ago","Rhythm Kala Suppliers 9851126504"
"BenQ EW2880U Premium Monitor 28"" 4K IPS Monitor","About this item Your 1 Source of Entertainment: Experience endless entertainment with the 28 Inch 4K UHD IPS Computer Monitor featuring a stunning 4K display. HDRi Optimization: Get ready for a cinematic experience thanks to the HDRi optimization which improves contrast and colors of the image. Built-In Dual 3W Speakers: Free up desk space with built-in speakers that delivers premium audio. The dual 3W speakers produces massive stereo sound and clear details so you don't miss a beat.","रू. 65,000","| Brand New","11 months ago","Digital One Pvt Ltd"
"Zilliontec Monitor 19″ HD LED Monitor VGA & HDMI","Brand: Zilliontec Model: 19"" LED Monitor 5000:1 Contrast Ratio Auto Resolution Detection 5ms Refresh Rate Multilingual OSD Size: 492x103x357mm Dual Input : 1x VGA Port 1 HDMI Port Cable : Power & HDMI Cable","रू. 5,000","| Brand New","4 months ago","New One IT Store"
"Zilliontec Monitor 19″ HD LED Monitor New Brand","Multilingual OSD Size: 492x103x357mm Dual Input : 1x VGA Port 1 HDMI Port Cable : Power & HDMI Cable Multilingual OSD Size: 492x103x357mm Dual Input : 1x VGA Port 1 HDMI Port Cable : Power & HDMI Cable THANK YOU PHONE NUMBER:9801851993\9801851992","रू. 5,500","| Brand New","2 months ago","99Nepal"
"MSI Pro MP251 Series 25'' MONITOR/MSI MONITOR GAME","Brand : MSI Model : MP251 Screen Size : 25 Inches Display Resolution Maximum : 1920 x 1080(FHD) Special Feature : Blue Light Filter Refresh Rate100 Hz PANEL TYPE : IPS DISPLAY COLORS : 16.7 Million RESPONSE TIME : 1ms (MPRT) / 4ms (GTG) VESA WALL MOUNTABLE : 100mm x 100mm 1x D-Sub (VGA), 1x HDMI (1.4b) phone number 9801851992/9801851993","रू. 19,500","| Brand New","2 months ago","99Nepal"
"ASUS VA24DQ 23.8” Monitor Ips FHD 75hz Monitor","ASUS VA24DQ 23.8” Monitor, 1080P Full HD, 75Hz, IPS, Adaptive-Sync/FreeSync, Eye Care, HDMI DisplayPort VGA, Frameless, VESA Wall Mountable THANK YOU PHONE NUMBER:9801851993\9801851992","रू. 32,500","| Brand New","4 months ago","99Nepal"
"22'' MONITOR/ ZILLIONTECH MONITOR 22'' WITH 1YR WT","ZilionTec ZL2215 22 inch Monitor with HDMI and VGA Port - OTE Brand: ZillionTec Model: ZL2215 Auto Resolution Detection 1440x900P HD Resolution 17M Colors 1x VGA & HDMI Port PRICE- 9,500/- THANK YOU NEWROAD KATHMANDU 9801899995","रू. 9,500","| Brand New","1 years ago","99Nepal"
"BenQ GW2480 65Hz 24 Inch Monitor IPS Monitor Eye C","BenQ GW2480 65Hz 24 Inch Monitor IPS Monitor Eye Care Low Blue Light | Anti-Glare | Adaptive Brightness | Tilt Screen | Built-In Speakers | DisplayPort | HDMI | VGA,Black","रू. 20,500","| Brand New","2 months ago","Tech Store"
"ACER MONITOR 27""180HZ VX272U QHD IPSGAMING MONITOR","ACER MONITOR 27""180HZ VX272U QHD IPS GAMING MONITOR FOR SALE. BRAND NEW BOX PACK ONLY AT RS 41000/- CAN CALL ME 9808303005,9852672645.","रू. 41,000","| Brand New","2 months ago","Dabss"
"Monitor Stand OR Arm-Gas Spring Single Arm Monitor","Compatible Devices : Monitors MountingType : Desk mount Material : Aluminum Brand : NB UNIVERSAL : Fits Most 17'' - 30'' Monitor with the load from 4.4 lbs up to 19.8 lbs, VESA compliant 75x75mm 100x100mm,While if your VESA hole is inside a recession area, Pls noted that the size of the whole VESA Plate of this product is 120*120mm, Extra Longer Screw & Screw spacer may be needed in order to make it fit well.","रू. 6,500","| Brand New","1 years ago","IT Tech World (9702016244)"
"19 Inch Monitor JDKEE 19 Inch Monitor With LED Dis","Display: 19.0 Inch display with 1400 x 900 ideal Resolution Connectivity: VGA Response Time: 5 milliseconds Power Consumption: 10 Watts Viewing Angle : H 170/ V160 (CR Grater then 10) Number of colora : 16.7 M Panal Size : 47 CM ( 19 Inch ) M0tionflow 100HZ Contact: 01-5914982","रू. 6,299","| Brand New","1 years ago","Gadget User"
"LG ULTRAWIDE MONITOR 29"" Inch Lg Monitor","LG ULTRAWIDE MONITOR 29"" 29WQ600 FOR SALE . BRAND NEW BOX PACK ONLY AT RS 38,999/-","रू. 38,999","| Brand New","1 years ago","99Nepal"
"Dell Gaming Monitor SE2417HG 23.6"" TN LCD Monitor","*Screen Size 23.6 Inches *Display Resolution Maximum1920x1080 Pixels *Brand Dell *Refresh Rate 60 Hz *Connectivity Technology: VGA, HDMI","रू. 23,000","| Brand New","2 years ago","New One IT Store"
"HITECH 144Hz Gaming Monitor 27 Inch Monitor","#. SEAMLESS SPEED: This gaming monitor contains a 144Hz refresh rate combined with a 1ms (MPRT) response time to eliminate motion blur and allow for fast-moving visuals to be seen with incredible clarity.. #. TEAR-FREE, STUTTER-FREE GAMING: Compatible Certification and AMD FreeSync Premium technology minimizes graphic distortions like screen tearing and stuttering for smoother, fluid gameplay and extraordinary image quality #. STAND AND DELIVER: Perfectly positioned","रू. 24,999","| Brand New","12 months ago","SK GROUP"
"19 Inch Monitor Jdkee 19 Inch Monitor With Led","Display: 19.0 Inch display with 1400x 900 ideal Resolution Connectivity: VGA/HDMI Response Time: 5 milliseconds Power Consumption: 10 Watts Viewing Angle : H 170/ V160 (CR Grater then 10) Number of colora : 16.7 M Panal Size : 47 CM ( 19 Inch ) M0tionflow 100HZ","रू. 6,500","| Brand New","2 years ago","New One IT Store"
"KOORUI NO7 4K Monitor 27 Inch UHD Gaming Monitor","KOORUI 4K Monitor 27 inch 3840 X 2160 UHD Gaming Monitor, IPS with VESA, AdaptiveSync, HDR10, 90% DCI-P3, HDMI, DisplayPort Computer Monitor, Black, N07 The 27 inch monitor with a three-sided ultra-thin bezel design, providing immersive viewing with 4 times the resolution of Full HD. You can enjoy super clear visuals from any direction, 90% DCI-P3 color gamut coverage provides accurate and vibrant colors. Specific uses for product - Business and Gaming.Pixel Per Inch : 163. Brightness : 350 cd/","रू. 49,999","| Brand New","6 months ago","PC Nerd"
"Zilliontec Monitor 22″ HD LED Monitor VGA & HDMI","Brand : Zilliontec Size : 22 Inch Color : 17 M colors 50000:1 Dynamic Contrast Low Power consumption VGA & HDMI Ports HDMI Cable","रू. 8,500","| Brand New","1 years ago","New One IT Store"
"KOORUI N07 27 Inch Monitor 4K Computer Monitor UHD","KOORUI 27 Inch Monitors, 4K Computer Monitors UHD(3840 * 2160), IPS, 4ms, 60Hz, 2x HDMI 2.0 & DisplayPort 1.4, Adpitive Sync, HDR10, VESA 100 * 100mm, 90% DCI-P3, Eye Care Stunning Visual:The monitor 27 inch with IPS technology and a 178° viewing angle, enjoy crystal-clear visuals from any direction. The 90%DCI-P3 color gamut coverage provides accurate and vibrant colors, with UHD 3840*2160 resolution and a static contrast ratio of 1000:1 that produces sharp and detailed images","रू. 49,999","| Brand New","6 months ago","Aztech Store"
"BenQ GW2485TC 24” Monitor/ Benq Gaming Monitor/Ips","-23.8"" Full HD (1920 x 1080) Frameless, -IPS Panel, Anti-Glare, 75Hz Refresh Rate, -5ms Response Time, Thank you 99 Nepal ☎️ 9801851993\9801851992 📍Newroad Kathmandu (Wholesale Market) 💵36,499/-","रू. 36,499","| Brand New","1 months ago","99Nepal"
"MSI PRO MP223 Monitor 21.5"" Full HD 100Hz Monitor","BRAND : MSI MODEL : MP223 PANEL SIZE : 21.45"" PANEL RESOLUTION : 1920 x 1080 (Full HD) REFRESH RATE : 100Hz RESPONSE TIME : 1ms (MPRT) / 4ms (GTG) PANEL TYPE : VA BRIGHTNESS (NITS) : 250 cd/m2 VIEWING ANGLE : 178°(H) / 178°(V) ASPECT RATIO : 16:9 CONTRAST RATIO : 3000:1 SRGB : 99% (CIE 1976) ACTIVE DISPLAY AREA (MM) : 478.656(H) x 260.28(V) PIXEL PITCH (H X V) : 0.2493(H) x 0.241(V) SURFACE TREATMENT : Anti-glare DISPLAY COLORS : 16.7M COLOR BIT : 8 bits VIDEO PORTS : 1x HDMI (1.4b) , 1x D-Sub (","रू. 13,799","| Brand New","2 months ago","New One IT Store"
"GAMING MONITOR 27"" IPS 2k 1ms 165hz Monitor","GAMING MONITOR 27"" IPS / 2560 X 1440@165Hz WQHD / 1MS (MPRT) / DP, HDMI https://www.rhythmkala.com","रू. 46,000","| Brand New","3 months ago","Rhythm Kala Suppliers 9851126504"
"ASUS VA24DQ 23.8” Monitor Ips FHD 75hz Monitor","ASUS VA24DQ 23.8” Monitor, 1080P Full HD, 75Hz, IPS, Adaptive-Sync/FreeSync, Eye Care, HDMI DisplayPort VGA, Frameless, VESA Wall Mountable","रू. 32,500","| Brand New","5 months ago","99Nepal"
"NB North Bayou Monitor Arm Monitor Stand Mount H80","NB North Bayou Monitor Arm Monitor Stand Monitor Desk Mount Height Adjustable VESA Bracket for 17 to 27 Inch Computer Screen - Holds up to 19.8lbs with C Clamp Bolt-Through Grommet Base H80-B https://www.rhythmkala.com","रू. 4,200","| Brand New","7 months ago","Rhythm Kala Suppliers 9851126504"
